"exercise_name","canonical_id_proposed","category","subcategory","menu_route","equipment","location","primary_muscle","secondary_muscles","joint","goal","priority","reason_to_add","coverage_gap","existing_similar_exercise","duplicate_risk","implementation_decision"
"Supino declinado com barra com pausa","supino_declinado_com_barra_com_pausa","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Barra e banco declinado","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","reforcar controlo no fundo do supino declinado","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino declinado com barra em tempo lento","supino_declinado_com_barra_em_tempo_lento","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Barra e banco declinado","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar tempo sob tensao no supino declinado","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino reto com halteres","supino_reto_com_halteres","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Halteres e banco plano","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","treinar empurrar horizontal com halteres","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino reto com halteres controlado","supino_reto_com_halteres_controlado","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Halteres e banco plano","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","controlar supino reto com halteres sem perder escapulas","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino reto com halteres com pausa","supino_reto_com_halteres_com_pausa","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Halteres e banco plano","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","pausar o supino reto com halteres no fundo seguro","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino reto com halteres em tempo lento","supino_reto_com_halteres_em_tempo_lento","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Halteres e banco plano","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar controlo no supino reto com halteres","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino inclinado com halteres controlado","supino_inclinado_com_halteres_controlado","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Halteres e banco inclinado","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","controlar o supino inclinado com halteres","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino inclinado com halteres com pausa","supino_inclinado_com_halteres_com_pausa","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Halteres e banco inclinado","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","pausar o supino inclinado com halteres sem compensar","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Supino inclinado com halteres em tempo lento","supino_inclinado_com_halteres_em_tempo_lento","musculacao","peito","Musculacao > Ginasio/Casa > Peito","Halteres e banco inclinado","ginasio; casa equipada","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar tempo sob tensao no supino inclinado com halteres","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
"Remada curvada com barra","remada_curvada_com_barra","musculacao","costas","Musculacao > Ginasio/Casa > Costas","Barra","ginasio; casa equipada","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","treinar remada horizontal com barra","B2","GOOD_V1 B2 strength coverage","pesos livres, puxadas e variacoes uteis de musculacao","sem duplicado canonical apos filtro contra catalogo atual","baixo","PLANNED_FOR_V099B2"
